email,recency_days,frequency,monetary_value,customer_segment
yusufwardani297@gmail.com,164,3,1473046,💤 Lost / Inactive
jokosinaga641@gmail.com,6,5,3304637,🛒 Regulars
ajiputri567@gmail.com,275,3,858203,💤 Lost / Inactive
irfansaputri965@gmail.com,181,4,2225545,💤 Lost / Inactive
sonianugroho456@outlook.com,12,4,3389731,🛒 Regulars
ajisari176@yahoo.com,322,3,1544000,💤 Lost / Inactive
nailahakim198@gmail.com,13,6,3762079,🛒 Regulars
donisetiawan259@gmail.com,66,4,1889972,🛒 Regulars
oliviasaputra880@outlook.com,256,4,2046201,💤 Lost / Inactive
rendirahmawati737@yahoo.com,5,5,3964099,🛒 Regulars
verahartono291@gmail.com,281,3,1526624,💤 Lost / Inactive
pandupratama359@outlook.com,53,4,1893354,🛒 Regulars
rendilestari981@gmail.com,98,1,698000,🛒 Regulars
andimanurung7@gmail.com,38,2,554748,🛒 Regulars
alyasantoso243@gmail.com,21,5,2021305,🛒 Regulars
baguspermata248@gmail.com,366,5,2521076,⚠️ At Risk (VIPs)
rezapratama534@gmail.com,0,5,4006590,🏆 Champions
daninugroho491@gmail.com,80,7,3608958,⚠️ At Risk (VIPs)
karinapohan568@outlook.com,320,2,621834,💤 Lost / Inactive
hadifauzi422@gmail.com,58,9,4497048,🏆 Champions
sriyulianti921@outlook.com,129,8,3431588,⚠️ At Risk (VIPs)
selvikurniawan80@gmail.com,66,2,853092,🛒 Regulars
irfansuryadi73@yahoo.com,559,3,815000,💤 Lost / Inactive
verasari878@gmail.com,202,4,1584944,💤 Lost / Inactive
hadimanurung65@gmail.com,401,3,2324000,💤 Lost / Inactive
agushidayat373@gmail.com,36,3,1134581,🛒 Regulars
alyasaputra2@outlook.com,229,4,1153562,💤 Lost / Inactive
hanahasanah125@gmail.com,145,6,3551309,⚠️ At Risk (VIPs)
dewihartono945@outlook.com,42,5,4278684,🏆 Champions
indahsari653@gmail.com,87,1,519536,🛒 Regulars
hendrasantoso799@gmail.com,348,1,987000,💤 Lost / Inactive
salsasetiawan280@gmail.com,104,4,3218000,🛒 Regulars
shintaramadhan663@gmail.com,108,4,1458484,🛒 Regulars
dionsimbolon725@gmail.com,295,3,620959,💤 Lost / Inactive
riohutapea272@yahoo.com,412,3,1589947,💤 Lost / Inactive
adityasiregar323@yahoo.com,39,6,4851218,🏆 Champions
nabilasusanti509@outlook.com,9,5,2115331,🛒 Regulars
indrasaputra72@gmail.com,22,3,743179,🛒 Regulars
nadiakurniawan419@gmail.com,23,5,2622049,🛒 Regulars
maulananugroho601@gmail.com,226,4,1183360,💤 Lost / Inactive
rendihidayat214@outlook.com,493,3,2991000,💤 Lost / Inactive
suryasinaga348@yahoo.com,379,3,2165000,💤 Lost / Inactive
mawarwijaya405@gmail.com,31,6,3269455,🛒 Regulars
tikakurniawan982@gmail.com,479,1,399000,💤 Lost / Inactive
fajarputri327@gmail.com,489,1,237682,💤 Lost / Inactive
tikatanjung30@gmail.com,40,6,2982126,🛒 Regulars
antonmaharani978@gmail.com,239,3,463914,💤 Lost / Inactive
faisalsembiring779@gmail.com,463,2,1671044,💤 Lost / Inactive
hendrasantoso545@yahoo.com,371,3,2708000,💤 Lost / Inactive
mawarginting335@yahoo.com,71,6,2780688,⚠️ At Risk (VIPs)
bagussaputra942@gmail.com,257,4,2024000,💤 Lost / Inactive
vivianggraini291@gmail.com,230,3,2302418,💤 Lost / Inactive
karinawardani811@gmail.com,221,3,889821,💤 Lost / Inactive
rezahutapea794@gmail.com,79,2,1088287,🛒 Regulars
anggiwardani709@gmail.com,234,4,1438288,💤 Lost / Inactive
jokohasanah699@yahoo.com,140,3,1000756,💤 Lost / Inactive
anggunwardani485@gmail.com,71,2,1107000,🛒 Regulars
shintasaputra308@yahoo.com,487,1,198000,💤 Lost / Inactive
fatimahsimbolon992@yahoo.com,13,1,229000,👋 New / Promising
viviramadhan633@gmail.com,731,2,846240,💤 Lost / Inactive
satriosari100@gmail.com,530,4,2250451,💤 Lost / Inactive
danikurniawan150@gmail.com,378,3,3451728,💤 Lost / Inactive
rezahidayat306@gmail.com,25,2,753218,👋 New / Promising
hasnaanggraini131@gmail.com,65,3,1283209,🛒 Regulars
ridhosusanti215@yahoo.com,188,4,1257067,💤 Lost / Inactive
fatimahsaputri990@gmail.com,288,3,1544222,💤 Lost / Inactive
oliviapratama708@gmail.com,1089,1,446048,💤 Lost / Inactive
indahlestari862@outlook.com,784,1,998000,💤 Lost / Inactive
agushutapea475@yahoo.com,283,2,1923503,💤 Lost / Inactive
mawarhasanah363@gmail.com,633,1,898000,💤 Lost / Inactive
ratnasari732@gmail.com,1071,1,317000,💤 Lost / Inactive
liawardani390@yahoo.com,84,1,136651,🛒 Regulars
dewihutapea591@yahoo.com,129,6,7803360,⚠️ At Risk (VIPs)
vaniahidayat716@outlook.com,295,2,1521669,💤 Lost / Inactive
irfanhutapea167@outlook.com,475,2,327033,💤 Lost / Inactive
auliafauzi166@gmail.com,49,5,804526,🛒 Regulars
yogahidayat262@gmail.com,201,4,2380460,💤 Lost / Inactive
oliviapohan550@outlook.com,508,1,79000,💤 Lost / Inactive
bambangsaputri235@outlook.com,242,4,1368252,💤 Lost / Inactive
adityapratama257@gmail.com,74,6,2351725,⚠️ At Risk (VIPs)
riokurniawan996@outlook.com,325,4,2241735,💤 Lost / Inactive
rismatanjung509@gmail.com,21,4,2820316,🛒 Regulars
panduiskandar304@gmail.com,71,2,895000,🛒 Regulars
wulansuryadi729@yahoo.com,597,4,2613301,💤 Lost / Inactive
nailamanurung606@yahoo.com,38,3,1355096,🛒 Regulars
shintacahyani96@outlook.com,255,2,1020229,💤 Lost / Inactive
bambanganggraini949@gmail.com,338,3,1214000,💤 Lost / Inactive
rinafauzi492@gmail.com,98,8,4293615,⚠️ At Risk (VIPs)
fitricahyani183@gmail.com,29,5,3330429,🛒 Regulars
haditanjung486@yahoo.com,50,3,1115668,🛒 Regulars
riohartono774@outlook.com,471,3,872441,💤 Lost / Inactive
indahsuryadi422@gmail.com,144,6,2596224,⚠️ At Risk (VIPs)
veracahyani818@outlook.com,153,4,2208682,💤 Lost / Inactive
ajiwardani496@gmail.com,205,4,1356033,💤 Lost / Inactive
baguslestari742@yahoo.com,10,3,1483000,🛒 Regulars
vaniasembiring89@yahoo.com,52,3,939764,🛒 Regulars
mayasari933@gmail.com,118,4,2281877,🛒 Regulars
fatimahyulianti655@gmail.com,183,4,2509550,💤 Lost / Inactive
ferdiramadhan873@yahoo.com,42,1,267222,🛒 Regulars
taniapratama166@outlook.com,107,3,1662762,🛒 Regulars
teguhutami885@outlook.com,119,6,2716069,⚠️ At Risk (VIPs)
bambangginting26@gmail.com,342,1,926000,💤 Lost / Inactive
melatisembiring501@gmail.com,60,6,4250552,🏆 Champions
hasnasembiring545@gmail.com,296,3,1880074,💤 Lost / Inactive
rismasembiring342@outlook.com,20,4,1057522,🛒 Regulars
anggitarigan795@outlook.com,276,3,2663531,💤 Lost / Inactive
sitihakim417@yahoo.com,0,7,2455663,🛒 Regulars
oliviapermata540@gmail.com,454,1,414358,💤 Lost / Inactive
ridhowardani65@yahoo.com,194,3,1141276,💤 Lost / Inactive
alyahidayat263@outlook.com,219,6,2425402,⚠️ At Risk (VIPs)
adipratama823@gmail.com,34,2,1906937,🛒 Regulars
keviniskandar963@gmail.com,26,10,2636084,🛒 Regulars
sarisaputra883@gmail.com,38,5,2405208,🛒 Regulars
mirarahmawati944@outlook.com,432,3,2290075,💤 Lost / Inactive
karinahutapea729@outlook.com,3,3,883856,🛒 Regulars
ekomanurung498@gmail.com,26,4,2408698,🛒 Regulars
aguswardani824@yahoo.com,189,2,776000,💤 Lost / Inactive
niawijaya512@yahoo.com,173,4,1125000,💤 Lost / Inactive
rismayulianti255@gmail.com,32,3,715016,🛒 Regulars
verarahmawati829@gmail.com,265,3,1143383,💤 Lost / Inactive
taniaiskandar852@yahoo.com,676,2,633700,💤 Lost / Inactive
bambangsimbolon370@gmail.com,45,3,737229,🛒 Regulars
wulanpermata546@yahoo.com,414,1,462733,💤 Lost / Inactive
fatimahpratama222@gmail.com,236,4,1875387,💤 Lost / Inactive
hasnahasanah474@gmail.com,320,3,2352000,💤 Lost / Inactive
taniautami334@gmail.com,254,5,1858684,⚠️ At Risk (VIPs)
kiranahutapea326@gmail.com,317,1,998000,💤 Lost / Inactive
wulansari701@gmail.com,186,2,587596,💤 Lost / Inactive
irfantanjung415@gmail.com,387,2,2543000,💤 Lost / Inactive
fitrilestari318@yahoo.com,26,4,1938618,🛒 Regulars
hadiramadhan205@yahoo.com,293,2,956000,💤 Lost / Inactive
tikafauzi392@gmail.com,24,6,3651515,🛒 Regulars
gitaiskandar403@gmail.com,125,4,1767069,💤 Lost / Inactive
teguhsantoso488@yahoo.com,219,4,1571937,💤 Lost / Inactive
nadiakurniawan327@gmail.com,19,4,1931726,🛒 Regulars
oliviayulianti434@outlook.com,25,6,1942800,🛒 Regulars
rizkypratama589@yahoo.com,322,4,2859731,💤 Lost / Inactive
rioaprilia425@gmail.com,120,6,3133102,⚠️ At Risk (VIPs)
putrisaputra719@outlook.com,253,6,1840616,⚠️ At Risk (VIPs)
agushartono867@gmail.com,4,5,2664224,🛒 Regulars
dimasiskandar233@yahoo.com,1,3,1290532,🛒 Regulars
kevinsuryadi179@gmail.com,112,3,2970655,🛒 Regulars
mayasaputra802@gmail.com,40,4,1460265,🛒 Regulars
shintahasanah536@gmail.com,309,2,1718712,💤 Lost / Inactive
ajiaprilia633@gmail.com,145,4,2960367,💤 Lost / Inactive
putrisaputra852@gmail.com,228,3,1042250,💤 Lost / Inactive
irfananggraini972@gmail.com,114,3,657771,🛒 Regulars
megamanurung649@yahoo.com,75,4,1274197,🛒 Regulars
adrianputri155@gmail.com,43,4,3674820,🛒 Regulars
hasnawardani22@outlook.com,20,6,3346697,🛒 Regulars
bambanghutapea70@outlook.com,108,3,2092425,🛒 Regulars
yulihakim860@yahoo.com,118,4,1912075,🛒 Regulars
rezamaharani622@gmail.com,317,1,129000,💤 Lost / Inactive
donihidayat161@outlook.com,27,3,973115,🛒 Regulars
bayucahyani794@gmail.com,101,1,49000,🛒 Regulars
megacahyani881@gmail.com,82,7,3875283,⚠️ At Risk (VIPs)
shintapermata68@yahoo.com,41,4,4612940,🛒 Regulars
cintaramadhan732@gmail.com,322,1,549000,💤 Lost / Inactive
pandutarigan272@gmail.com,1069,1,314111,💤 Lost / Inactive
riansinaga577@gmail.com,499,1,1079326,💤 Lost / Inactive
suryahalim482@outlook.com,1038,1,498000,💤 Lost / Inactive
daniutami394@gmail.com,139,3,1156140,💤 Lost / Inactive
rinaanggraini976@outlook.com,481,2,926000,💤 Lost / Inactive
hasnamanurung999@gmail.com,337,2,1395000,💤 Lost / Inactive
irfanpermata507@gmail.com,982,1,415557,💤 Lost / Inactive
citraaprilia179@yahoo.com,291,2,1086000,💤 Lost / Inactive
hadifauzi345@gmail.com,284,1,157742,💤 Lost / Inactive
ratnasembiring47@gmail.com,636,2,497270,💤 Lost / Inactive
alyahartono174@gmail.com,171,5,1486324,⚠️ At Risk (VIPs)
indrautami201@gmail.com,0,8,4634423,🏆 Champions
hasnahidayat914@gmail.com,261,7,3567450,⚠️ At Risk (VIPs)
nadiaiskandar68@outlook.com,187,2,547000,💤 Lost / Inactive
riosuryadi941@gmail.com,69,5,2908000,⚠️ At Risk (VIPs)
mawaryulianti827@gmail.com,2,3,1518546,🛒 Regulars
megahasanah54@gmail.com,43,5,2561544,🛒 Regulars
cintasaputri230@gmail.com,148,7,4078259,⚠️ At Risk (VIPs)
riansimbolon467@gmail.com,14,4,2042125,🛒 Regulars
nandahidayat288@yahoo.com,248,4,1494000,💤 Lost / Inactive
tikasusanti591@yahoo.com,115,3,1207836,🛒 Regulars
citrayulianti585@gmail.com,10,8,4032548,🏆 Champions
cintalestari687@gmail.com,9,2,976076,👋 New / Promising
linahasanah517@gmail.com,187,4,2579640,💤 Lost / Inactive
diahpratama956@gmail.com,284,6,2059414,⚠️ At Risk (VIPs)
fatimahnugroho947@outlook.com,33,6,2792238,🛒 Regulars
vaniautami52@gmail.com,38,2,909592,🛒 Regulars
bayunugroho934@yahoo.com,22,3,1162318,🛒 Regulars
gitakurniawan815@gmail.com,15,5,1667504,🛒 Regulars
suryahakim222@gmail.com,31,8,4151541,🏆 Champions
anggunhutapea894@gmail.com,3,6,2133626,🛒 Regulars
yulinugroho128@gmail.com,119,1,558000,🛒 Regulars
indahcahyani698@gmail.com,54,5,1780603,🛒 Regulars
hendramaharani115@outlook.com,161,3,1154785,💤 Lost / Inactive
fitrihasanah945@gmail.com,9,6,3566871,🛒 Regulars
hanasembiring781@yahoo.com,89,6,3838959,⚠️ At Risk (VIPs)
rianputri70@gmail.com,39,3,1135895,🛒 Regulars
citraanggraini982@gmail.com,3,4,1127586,🛒 Regulars
karinapohan667@gmail.com,80,8,4295724,⚠️ At Risk (VIPs)
putraginting488@yahoo.com,33,4,2703013,🛒 Regulars
aguslestari599@outlook.com,11,6,2005372,🛒 Regulars
hasanlestari449@gmail.com,71,3,2034525,🛒 Regulars
hasnautami434@gmail.com,191,7,2291308,⚠️ At Risk (VIPs)
megasimbolon162@outlook.com,48,5,2032608,🛒 Regulars
faisalsiregar457@gmail.com,366,4,1332429,💤 Lost / Inactive
oliviasembiring332@yahoo.com,283,5,2737000,⚠️ At Risk (VIPs)
nabilawardani124@gmail.com,125,4,1367178,💤 Lost / Inactive
verahutapea614@gmail.com,25,6,2557847,🛒 Regulars
dionsiregar730@gmail.com,19,8,4912003,🏆 Champions
ridhoaprilia544@gmail.com,545,3,1495496,💤 Lost / Inactive
taniahasanah874@gmail.com,201,2,1046000,💤 Lost / Inactive
mirasaputri99@gmail.com,381,2,1326000,💤 Lost / Inactive
melatisinaga312@gmail.com,11,3,2103531,🛒 Regulars
srianggraini950@outlook.com,1,4,3274334,🛒 Regulars
budiramadhan76@gmail.com,409,6,2373116,⚠️ At Risk (VIPs)
ayunugroho568@outlook.com,185,5,1133052,⚠️ At Risk (VIPs)
indahutami858@yahoo.com,328,3,2305210,💤 Lost / Inactive
hasnawardani390@outlook.com,178,5,3850163,⚠️ At Risk (VIPs)
rezaputri186@gmail.com,170,4,2218809,💤 Lost / Inactive
antonkurniawan511@yahoo.com,186,3,1437473,💤 Lost / Inactive
alyalestari168@outlook.com,309,4,2100183,💤 Lost / Inactive
adisinaga504@gmail.com,121,7,3065166,⚠️ At Risk (VIPs)
putrasinaga770@outlook.com,167,6,2986739,⚠️ At Risk (VIPs)
budisimbolon135@outlook.com,74,4,1288081,🛒 Regulars
mayautami105@gmail.com,173,6,2829378,⚠️ At Risk (VIPs)
auliawijaya614@yahoo.com,87,3,1958260,🛒 Regulars
indahrahmawati74@yahoo.com,86,4,681000,🛒 Regulars
rendianggraini988@gmail.com,276,3,1713666,💤 Lost / Inactive
karinasembiring112@gmail.com,1007,1,757000,💤 Lost / Inactive
hasnacahyani775@gmail.com,196,6,3162125,⚠️ At Risk (VIPs)
rendinugroho137@gmail.com,397,3,517000,💤 Lost / Inactive
mayapohan670@gmail.com,102,4,1780293,🛒 Regulars
indrahutapea505@gmail.com,243,5,4001485,⚠️ At Risk (VIPs)
indrasembiring717@outlook.com,0,4,2211437,🛒 Regulars
rismasaputri799@gmail.com,346,4,2352000,💤 Lost / Inactive
rizkyginting131@outlook.com,59,6,4007743,🏆 Champions
mirasusanti725@gmail.com,185,2,1618114,💤 Lost / Inactive
liautami75@outlook.com,25,3,1404326,🛒 Regulars
mawarmaharani364@gmail.com,9,3,736392,🛒 Regulars
maulanayulianti154@yahoo.com,58,3,1096304,🛒 Regulars
tikaiskandar117@outlook.com,492,5,3928000,⚠️ At Risk (VIPs)
donihartono423@outlook.com,368,3,2302863,💤 Lost / Inactive
linafauzi129@outlook.com,176,6,2786262,⚠️ At Risk (VIPs)
kevinwardani13@gmail.com,135,4,1635078,💤 Lost / Inactive
nailafauzi798@outlook.com,60,6,3462978,🛒 Regulars
daffasusanti566@gmail.com,24,3,2199822,🛒 Regulars
megautami142@outlook.com,5,4,1621527,🛒 Regulars
dimashidayat865@outlook.com,11,6,2448715,🛒 Regulars
wahyuhakim850@gmail.com,61,6,2673721,⚠️ At Risk (VIPs)
fajarsaputri413@yahoo.com,460,2,388559,💤 Lost / Inactive
ekoyulianti35@gmail.com,335,2,1431846,💤 Lost / Inactive
galihsari580@yahoo.com,325,3,726000,💤 Lost / Inactive
irfansinaga801@outlook.com,2,4,2180000,🛒 Regulars
ekoiskandar191@gmail.com,165,1,350012,💤 Lost / Inactive
fajarsusanti837@gmail.com,338,3,1076000,💤 Lost / Inactive
teguhsaputri205@gmail.com,166,3,1125000,💤 Lost / Inactive
ferdipohan130@gmail.com,87,5,2621599,⚠️ At Risk (VIPs)
ratnamaharani834@gmail.com,120,3,1385000,💤 Lost / Inactive
zahrapohan10@outlook.com,92,3,1013886,🛒 Regulars
soniasaputra973@gmail.com,70,2,236949,🛒 Regulars
budimanurung200@yahoo.com,149,2,728000,💤 Lost / Inactive
sitiutami5@gmail.com,827,2,558000,💤 Lost / Inactive
suryasetiawan365@gmail.com,49,2,726000,🛒 Regulars
srimaharani972@yahoo.com,207,2,864000,💤 Lost / Inactive
dimaslestari85@outlook.com,460,2,1058651,💤 Lost / Inactive
rakacahyani739@yahoo.com,11,1,567000,👋 New / Promising
bintangrahmawati42@gmail.com,507,2,885172,💤 Lost / Inactive
bellatanjung992@gmail.com,230,2,1852000,💤 Lost / Inactive
melatipermata405@gmail.com,267,1,298000,💤 Lost / Inactive
cintawijaya230@yahoo.com,865,1,1455000,💤 Lost / Inactive
adityalestari115@yahoo.com,2,4,2231170,🛒 Regulars
selvisinaga144@yahoo.com,10,4,2998010,🛒 Regulars
andicahyani795@outlook.com,12,5,1236853,🛒 Regulars
zahraanggraini951@gmail.com,122,3,2187046,💤 Lost / Inactive
teguhginting391@gmail.com,111,7,2845563,⚠️ At Risk (VIPs)
bellautami591@yahoo.com,12,5,2015775,🛒 Regulars
tikasetiawan972@gmail.com,366,2,657000,💤 Lost / Inactive
fitrikurniawan626@gmail.com,167,5,1839271,⚠️ At Risk (VIPs)
mayaginting824@gmail.com,245,6,2304208,⚠️ At Risk (VIPs)
arifsimbolon31@gmail.com,317,3,913481,💤 Lost / Inactive
aditarigan243@outlook.com,706,3,2874672,💤 Lost / Inactive
hanahalim97@yahoo.com,191,3,1962353,💤 Lost / Inactive
ridhosimbolon788@outlook.com,315,6,2698210,⚠️ At Risk (VIPs)
ratnahidayat818@gmail.com,98,9,4758611,⚠️ At Risk (VIPs)
rakasari740@gmail.com,29,7,4204945,🏆 Champions
satriohalim293@gmail.com,17,8,4413120,🏆 Champions
rakacahyani503@outlook.com,534,1,163351,💤 Lost / Inactive
srikurniawan970@gmail.com,29,2,1536000,👋 New / Promising
ajisantoso224@gmail.com,214,6,4035000,⚠️ At Risk (VIPs)
anggunmaharani452@gmail.com,117,7,2378309,⚠️ At Risk (VIPs)
fitriramadhan204@gmail.com,84,4,865938,🛒 Regulars
rezasiregar873@gmail.com,109,5,2973130,⚠️ At Risk (VIPs)
taniahalim592@gmail.com,430,3,2634280,💤 Lost / Inactive
mawariskandar572@gmail.com,29,3,1970000,🛒 Regulars
zahraputri392@outlook.com,1,7,4374879,🏆 Champions
vivisantoso257@gmail.com,555,2,861952,💤 Lost / Inactive
rendiaprilia191@yahoo.com,50,7,4341698,🏆 Champions
wulankurniawan458@yahoo.com,583,3,2458281,💤 Lost / Inactive
hanamanurung422@gmail.com,115,3,1263000,🛒 Regulars
citrasiregar391@gmail.com,68,2,915000,🛒 Regulars
budisiregar451@yahoo.com,622,2,1101169,💤 Lost / Inactive
nandayulianti229@yahoo.com,0,1,805000,👋 New / Promising
ridhomanurung773@gmail.com,356,4,3394060,💤 Lost / Inactive
sariiskandar891@gmail.com,40,5,1327141,🛒 Regulars
agusnugroho837@yahoo.com,5,4,1177889,🛒 Regulars
ranisusanti130@yahoo.com,275,2,1925144,💤 Lost / Inactive
salsasantoso48@gmail.com,230,2,741227,💤 Lost / Inactive
sitihutapea674@gmail.com,357,3,2910000,💤 Lost / Inactive
agusmaharani409@gmail.com,219,3,818211,💤 Lost / Inactive
nialestari463@gmail.com,315,4,452854,💤 Lost / Inactive
alyapohan286@gmail.com,290,4,1248061,💤 Lost / Inactive
selvitarigan256@gmail.com,558,4,1466045,💤 Lost / Inactive
putraputri380@yahoo.com,51,3,1347176,🛒 Regulars
megakurniawan379@gmail.com,38,4,1733152,🛒 Regulars
linamanurung624@yahoo.com,371,4,2123315,💤 Lost / Inactive
megamanurung889@gmail.com,123,1,278987,💤 Lost / Inactive
srisuryadi969@gmail.com,645,4,761552,💤 Lost / Inactive
panduhakim482@gmail.com,118,5,2056195,⚠️ At Risk (VIPs)
salsatanjung845@gmail.com,137,2,874000,💤 Lost / Inactive
fatimahsinaga538@gmail.com,35,3,1509000,🛒 Regulars
bintangsimbolon905@gmail.com,34,4,2129796,🛒 Regulars
andirahmawati229@yahoo.com,99,9,4171975,⚠️ At Risk (VIPs)
auliarahmawati264@yahoo.com,408,4,2253893,💤 Lost / Inactive
hasanpratama108@gmail.com,54,10,4050538,🏆 Champions
verahalim450@yahoo.com,637,4,1142977,💤 Lost / Inactive
sitimaharani767@gmail.com,259,5,3941024,⚠️ At Risk (VIPs)
pandusiregar943@gmail.com,431,4,964384,💤 Lost / Inactive
arifsari700@yahoo.com,31,6,4317992,🏆 Champions
oliviayulianti232@gmail.com,23,5,3940822,🛒 Regulars
hadisetiawan232@gmail.com,482,4,2176253,💤 Lost / Inactive
alyasaputra431@outlook.com,294,4,2449137,💤 Lost / Inactive
wahyutanjung678@gmail.com,254,2,934569,💤 Lost / Inactive
cintasaputra292@gmail.com,126,4,4177309,⚠️ At Risk (VIPs)
kiranaanggraini617@yahoo.com,329,3,2750000,💤 Lost / Inactive
putrapermata695@outlook.com,9,10,5733033,🏆 Champions
tonitarigan972@yahoo.com,228,4,1520293,💤 Lost / Inactive
shintayulianti226@gmail.com,63,6,1979799,⚠️ At Risk (VIPs)
dewiramadhan690@outlook.com,398,4,2970422,💤 Lost / Inactive
niafauzi993@gmail.com,308,5,1391702,⚠️ At Risk (VIPs)
fajarcahyani68@gmail.com,4,6,2074994,🛒 Regulars
tikahalim128@gmail.com,31,4,1511000,🛒 Regulars
melatiramadhan781@gmail.com,101,2,535649,🛒 Regulars
yogayulianti636@gmail.com,105,3,1178932,🛒 Regulars
citrarahmawati890@outlook.com,466,5,2935000,⚠️ At Risk (VIPs)
sritanjung570@outlook.com,7,4,1551342,🛒 Regulars
fitrinugroho566@gmail.com,49,4,1525130,🛒 Regulars
putritarigan347@gmail.com,82,5,2087477,⚠️ At Risk (VIPs)
karinaputri99@gmail.com,44,5,1819395,🛒 Regulars
putrisembiring958@gmail.com,9,3,2106245,🛒 Regulars
teguhpohan734@outlook.com,22,4,3377000,🛒 Regulars
sarihasanah389@yahoo.com,352,2,968357,💤 Lost / Inactive
shintatanjung622@gmail.com,270,1,129000,💤 Lost / Inactive
ridhopermata578@outlook.com,79,6,1748983,⚠️ At Risk (VIPs)
putriaprilia751@yahoo.com,21,6,3271094,🛒 Regulars
vaniasuryadi772@yahoo.com,502,1,658000,💤 Lost / Inactive
selvisaputri985@outlook.com,337,3,1311298,💤 Lost / Inactive
adiwijaya806@outlook.com,122,2,982898,💤 Lost / Inactive
donifauzi282@gmail.com,82,5,3752304,⚠️ At Risk (VIPs)
ranisantoso182@gmail.com,30,3,3460000,🛒 Regulars
rakapermata455@gmail.com,197,3,566000,💤 Lost / Inactive
fatimahpohan644@gmail.com,267,4,1279558,💤 Lost / Inactive
fitrisantoso285@gmail.com,213,3,2354946,💤 Lost / Inactive
dimassari50@gmail.com,205,6,3676581,⚠️ At Risk (VIPs)
melatisetiawan721@gmail.com,478,1,119000,💤 Lost / Inactive
nabilasari155@gmail.com,291,1,578000,💤 Lost / Inactive
putrihasanah684@yahoo.com,68,2,787000,🛒 Regulars
faisaliskandar104@gmail.com,46,5,3253500,🛒 Regulars
panduhidayat787@yahoo.com,608,3,2388218,💤 Lost / Inactive
diahhalim738@outlook.com,433,2,1376000,💤 Lost / Inactive
bintangyulianti605@gmail.com,323,1,477000,💤 Lost / Inactive
nabilasetiawan443@outlook.com,7,2,1263274,👋 New / Promising
rismasiregar727@outlook.com,66,2,1380758,🛒 Regulars
anggisuryadi36@gmail.com,665,1,478484,💤 Lost / Inactive
tikayulianti505@outlook.com,326,2,1605000,💤 Lost / Inactive
